lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
53.2082255277,6.5674237848,Groningen,Netherlands,Dutch,1874,Unknown,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/1874%20Unknown.png,Jane Eyre. the Orphan of Lowood. or the life of a Governess,C.M. Van Bolhuis Hoitsema,Groningen. Netherlands,
52.0167338633,4.7114883482,Gouda,Netherlands,Dutch,1885,Unknown,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/1885%20%20van%20Goor%20Zonen.jpg,Jane Eyre. or. The Orphan of Lowood: a Story,G.B. van Goor Zonen,Gouda. Netherlands,
51.9710125958,5.6685380561,Wageningen,Netherlands,Dutch,1971,M. Foeken-Visser,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/1971%20Foeken-Visser.jpg,Jane Eyre,L.J. Veen's Uitgeversmij N.V.,Wageningen. Netherlands,
52.0806880517,5.1149189542,Utrecht,Netherlands,Dutch,1994,Heleen Kost,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/1994%20Kost.jpg,Jane Eyre: an autobiography,Het Spectrum,Utrecht. Netherlands,
52.3598901943,4.9111158336,Amsterdam,Netherlands,Dutch,1995,M. Foeken-Visser,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/1995%20Foeken-Visser.jpg,Jane Eyre,Pandora,Amsterdam. Netherlands,
52.3327320632,4.9189968254,Amsterdam,Netherlands,Dutch,2016,Akkie de Jong,https://raw.githubusercontent.com/digitalkoine/dutch_storymap/main/dutch/2016%20de%20Jong.png,Jane Eyre,Uitgeverij Rainbow bv,Paul van Vlissingenstraat 18. 1096 BJ Amsterdam. Netherlands,
